,City,Country,Date,Cloudiness,Lat,Lng,Humidity,Wind Speed,Max Temp,Min Temp
347,RU,RU,1572985772,100,61.92,63.02,85,4.16,21.13,21.13
348,RU,RU,1572985773,90,64.73,177.51,86,11.18,28.4,28.4
349,ZM,ZM,1572985775,100,-11.73,24.43,94,4.88,62.08,62.08
350,ID,ID,1572985776,100,-0.02,109.34,97,0.22,74.48,74.48
351,NG,NG,1572985778,0,10.3,10.93,37,2.19,76.91,76.91
352,NG,NG,1572985779,75,5.43,7.07,94,3.47,75.2,75.2
353,MV,MV,1572985780,100,6.62,73.07,77,14.92,82.2,82.2
354,US,US,1572985781,40,40.8,-81.38,43,11.41,50.0,46.0
355,GR,GR,1572985715,20,37.98,23.73,93,2.24,71.01,60.8
356,US,US,1572985784,1,34.64,-120.46,15,3.36,86.0,60.8
357,PH,PH,1572985786,67,5.4,125.46,76,10.94,82.31,82.31
358,RU,RU,1572985787,100,60.26,37.97,94,14.61,27.73,27.73
359,CN,CN,1572985788,0,28.28,88.52,55,1.14,25.74,25.74
360,CN,CN,1572985790,0,19.91,109.69,71,6.76,72.16,72.16
361,LA,LA,1572985791,73,20.42,104.04,97,1.54,54.43,54.43
